task_id,repository,group,official_outcome,capture_status,episodes,public_green_verified_episodes,public_test_red,public_test_green,completed_subgoal,terminal_partial_attempt,checkpoint_counts,l2_unique_nodes_referenced,capture_failures,empty_checkpoints,memory_injections,l2_nodes_by_catalog_source_episode,l2_edges_by_source_episode
swebench--matplotlib__matplotlib-25027,matplotlib/matplotlib,new_240,UNRESOLVED,CAPTURED,5,2,1,2,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 3}",0,0,0,0,0,0
swebench--matplotlib__matplotlib-25334,matplotlib/matplotlib,new_240,UNRESOLVED,CAPTURED,4,2,0,2,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 2}",14,0,0,0,14,12
swebench--matplotlib__matplotlib-25651,matplotlib/matplotlib,inherited_120,UNRESOLVED,CAPTURED,4,3,0,2,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 2}",8,0,0,0,8,6
swebench--matplotlib__matplotlib-25667,matplotlib/matplotlib,inherited_120,RESOLVED,CAPTURED,4,2,1,1,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 2}",15,0,0,0,15,12
swebench--matplotlib__matplotlib-25772,matplotlib/matplotlib,inherited_120,RESOLVED,CAPTURED,4,2,1,1,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 2}",27,0,0,0,27,24
swebench--matplotlib__matplotlib-25785,matplotlib/matplotlib,new_240,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",8,0,0,0,8,7
swebench--matplotlib__matplotlib-26223,matplotlib/matplotlib,inherited_120,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",5,0,0,0,5,4
swebench--mwaskom__seaborn-2389,mwaskom/seaborn,inherited_120,RESOLVED,CAPTURED,4,1,1,1,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 2}",22,0,0,0,22,20
swebench--mwaskom__seaborn-2457,mwaskom/seaborn,inherited_120,RESOLVED,CAPTURED,3,0,1,0,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 1}",9,0,0,0,9,8
swebench--mwaskom__seaborn-2576,mwaskom/seaborn,inherited_120,UNRESOLVED,CAPTURED,5,2,1,2,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 3}",24,0,0,0,24,21
swebench--mwaskom__seaborn-2766,mwaskom/seaborn,inherited_120,UNDETERMINED,CAPTURED,8,1,5,1,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 6}",14,0,0,,14,12
